author_name,family_name,genus_name,species,concat_species,ecocode_definition,ecocode,ecocode_abbreviation,ecocode_system,koch_type,taxon
(F),CHRYSOMELIDAE,Syneta,betulae,Syneta betulae,feeds on leaves,phyllophagous,FNoPy,KochGroup,Food nourishment,Syneta|betulae|(F)
(F),CHRYSOMELIDAE,Syneta,betulae,Syneta betulae,only in the specified biotope,stenotopic,HRaSt,KochGroup,Habitat range,Syneta|betulae|(F)
(F),CURCULIONIDAE,Sitona,gressorius,Sitona gressorius,Disturbed ground/arable,Disturbed/arable,BEco06a,Bugs,,Sitona|gressorius|(F)
(F),CURCULIONIDAE,Sitona,gressorius,Sitona gressorius,Sandy/dry disturbed ground/arable,Sandy/dry disturbed/arable,BEco06b,Bugs,,Sitona|gressorius|(F)
(F),CURCULIONIDAE,Sitona,gressorius,Sitona gressorius,in many varied biotope,eurytopic,HRaEu,KochGroup,Habitat range,Sitona|gressorius|(F)
(F),CURCULIONIDAE,Sitona,gressorius,Sitona gressorius,on herbs,herbicolous,Ecohe,KochGroup,Ecology,Sitona|gressorius|(F)
(F),CURCULIONIDAE,Sitona,gressorius,Sitona gressorius,on a narrow range of often closely related plant or animal species,oligophagous,FDeOl,KochGroup,Food dependency,Sitona|gressorius|(F)
(F),CURCULIONIDAE,Sitona,gressorius,Sitona gressorius,feeds on leaves,phyllophagous,FNoPy,KochGroup,Food nourishment,Sitona|gressorius|(F)
(F),CURCULIONIDAE,Sitona,gressorius,Sitona gressorius,feeds on roots,rhizophagous,FNoRh,KochGroup,Food nourishment,Sitona|gressorius|(F)
(F),CURCULIONIDAE,Sitona,gressorius,Sitona gressorius,prefers dry places,xerophilous,HTyxe,KochGroup,Habitat type,Sitona|gressorius|(F)
(F),SCOLYTIDAE,Xyleborus,monographus,Xyleborus monographus,Deciduous Wood and tree indicators,Indicators: Deciduous,BEco04a,Bugs,,Xyleborus|monographus|(F)
(F),SCOLYTIDAE,Xyleborus,monographus,Xyleborus monographus,Wood and trees,Wood and trees,BEco04,Bugs,,Xyleborus|monographus|(F)
(F),SCOLYTIDAE,Xyleborus,monographus,Xyleborus monographus,on trees,arboricolous,Ecoab,KochGroup,Ecology,Xyleborus|monographus|(F)
(F),SCOLYTIDAE,Xyleborus,monographus,Xyleborus monographus,in wood,lignicolous,Ecoli,KochGroup,Ecology,Xyleborus|monographus|(F)
(F),SCOLYTIDAE,Xyleborus,monographus,Xyleborus monographus,on fungi,mycetophagous,FNoMy,KochGroup,Food nourishment,Xyleborus|monographus|(F)
(F),SCOLYTIDAE,Xyleborus,monographus,Xyleborus monographus,on a narrow range of often closely related plant or animal species,oligophagous,FDeOl,KochGroup,Food dependency,Xyleborus|monographus|(F)
(F),SCOLYTIDAE,Xyleborus,monographus,Xyleborus monographus,in woodland,silvicolous,Ecosi,KochGroup,Ecology,Xyleborus|monographus|(F)
(F),SCOLYTIDAE,Xyleborus,monographus,Xyleborus monographus,only in the specified biotope,stenotopic,HRaSt,KochGroup,Habitat range,Xyleborus|monographus|(F)
(F),SCOLYTIDAE,Xyleborus,monographus,Xyleborus monographus,feeds on wood,xylophagous,FNoXy,KochGroup,Food nourishment,Xyleborus|monographus|(F)
(F),TENEBRIONIDAE,Gonocephalum,pusillum,Gonocephalum pusillum,Sandy/dry disturbed ground/arable,Sandy/dry disturbed/arable,BEco06b,Bugs,,Gonocephalum|pusillum|(F)
(F.),ALLECULIDAE,Mycetochara,humeralis,Mycetochara humeralis,Wood and trees,Wood and trees,BEco04,Bugs,,Mycetochara|humeralis|(F.)
(F.),ALLECULIDAE,Mycetochara,humeralis,Mycetochara humeralis,in fungi,mycetophilous,HTymy,KochGroup,Habitat type,Mycetochara|humeralis|(F.)
(F.),ALLECULIDAE,Mycetochara,humeralis,Mycetochara humeralis,in woodland,silvicolous,Ecosi,KochGroup,Ecology,Mycetochara|humeralis|(F.)
(F.),ALLECULIDAE,Mycetochara,humeralis,Mycetochara humeralis,only in the specified biotope,stenotopic,HRaSt,KochGroup,Habitat range,Mycetochara|humeralis|(F.)
(F.),ALLECULIDAE,Prionychus,ater,Prionychus ater,Wood and trees,Wood and trees,BEco04,Bugs,,Prionychus|ater|(F.)
(F.),ALLECULIDAE,Prionychus,ater,Prionychus ater,under bark,corticolous,Ecoco,KochGroup,Ecology,Prionychus|ater|(F.)
(F.),ALLECULIDAE,Prionychus,ater,Prionychus ater,prefers shade,pholeophilous,HTyph,KochGroup,Habitat type,Prionychus|ater|(F.)
(F.),ALLECULIDAE,Prionychus,ater,Prionychus ater,in woodland,silvicolous,Ecosi,KochGroup,Ecology,Prionychus|ater|(F.)
(F.),ALLECULIDAE,Prionychus,ater,Prionychus ater,only in the specified biotope,stenotopic,HRaSt,KochGroup,Habitat range,Prionychus|ater|(F.)
(F.),ALLECULIDAE,Prionychus,ater,Prionychus ater,in wood debris,xylodetriticolous,Ecoxy,KochGroup,Ecology,Prionychus|ater|(F.)
(F.),ANOBIIDAE,Anobium,nitidus,Anobium nitidus,Wood and trees,Wood and trees,BEco04,Bugs,,Anobium|nitidus|(F.)
(F.),ANOBIIDAE,Anobium,nitidus,Anobium nitidus,on trees,arboricolous,Ecoab,KochGroup,Ecology,Anobium|nitidus|(F.)
(F.),ANOBIIDAE,Anobium,nitidus,Anobium nitidus,in many varied biotope,eurytopic,HRaEu,KochGroup,Habitat range,Anobium|nitidus|(F.)
(F.),ANOBIIDAE,Anobium,nitidus,Anobium nitidus,in wood,lignicolous,Ecoli,KochGroup,Ecology,Anobium|nitidus|(F.)
(F.),ANOBIIDAE,Anobium,nitidus,Anobium nitidus,in woodland,silvicolous,Ecosi,KochGroup,Ecology,Anobium|nitidus|(F.)
(F.),ANOBIIDAE,Anobium,nitidus,Anobium nitidus,feeds on wood,xylophagous,FNoXy,KochGroup,Food nourishment,Anobium|nitidus|(F.)
(F.),ANOBIIDAE,Dorcatoma,flavicornis,Dorcatoma flavicornis,Wood and trees,Wood and trees,BEco04,Bugs,,Dorcatoma|flavicornis|(F.)
(F.),ANOBIIDAE,Dorcatoma,flavicornis,Dorcatoma flavicornis,on fungi,mycetophagous,FNoMy,KochGroup,Food nourishment,Dorcatoma|flavicornis|(F.)
(F.),ANOBIIDAE,Dorcatoma,flavicornis,Dorcatoma flavicornis,in woodland,silvicolous,Ecosi,KochGroup,Ecology,Dorcatoma|flavicornis|(F.)
(F.),ANOBIIDAE,Dorcatoma,flavicornis,Dorcatoma flavicornis,only in the specified biotope,stenotopic,HRaSt,KochGroup,Habitat range,Dorcatoma|flavicornis|(F.)
(F.),ANOBIIDAE,Dorcatoma,flavicornis,Dorcatoma flavicornis,in wood debris,xylodetriticolous,Ecoxy,KochGroup,Ecology,Dorcatoma|flavicornis|(F.)
(F.),ANOBIIDAE,Ernobius,abietis,Ernobius abietis,Wood and trees,Wood and trees,BEco04,Bugs,,Ernobius|abietis|(F.)
(F.),ANOBIIDAE,Ernobius,abietis,Ernobius abietis,on trees,arboricolous,Ecoab,KochGroup,Ecology,Ernobius|abietis|(F.)
(F.),ANOBIIDAE,Ernobius,abietis,Ernobius abietis,in wood,lignicolous,Ecoli,KochGroup,Ecology,Ernobius|abietis|(F.)
(F.),ANOBIIDAE,Ernobius,abietis,Ernobius abietis,in woodland,silvicolous,Ecosi,KochGroup,Ecology,Ernobius|abietis|(F.)
(F.),ANOBIIDAE,Ernobius,abietis,Ernobius abietis,only in the specified biotope,stenotopic,HRaSt,KochGroup,Habitat range,Ernobius|abietis|(F.)
(F.),ANOBIIDAE,Ernobius,abietis,Ernobius abietis,feeds on wood,xylophagous,FNoXy,KochGroup,Food nourishment,Ernobius|abietis|(F.)
(F.),ANOBIIDAE,Grynobius,planus,Grynobius planus,Deciduous Wood and tree indicators,Indicators: Deciduous,BEco04a,Bugs,,Grynobius|planus|(F.)
(F.),ANOBIIDAE,Grynobius,planus,Grynobius planus,Dry dead wood,Dry dead wood,BEco10,Bugs,,Grynobius|planus|(F.)
(F.),ANOBIIDAE,Grynobius,planus,Grynobius planus,Wood and trees,Wood and trees,BEco04,Bugs,,Grynobius|planus|(F.)
(F.),ANOBIIDAE,Grynobius,planus,Grynobius planus,in wood,lignicolous,Ecoli,KochGroup,Ecology,Grynobius|planus|(F.)
(F.),ANOBIIDAE,Grynobius,planus,Grynobius planus,in woodland,silvicolous,Ecosi,KochGroup,Ecology,Grynobius|planus|(F.)
(F.),ANOBIIDAE,Grynobius,planus,Grynobius planus,only in the specified biotope,stenotopic,HRaSt,KochGroup,Habitat range,Grynobius|planus|(F.)
(F.),ANOBIIDAE,Grynobius,planus,Grynobius planus,feeds on wood,xylophagous,FNoXy,KochGroup,Food nourishment,Grynobius|planus|(F.)
(F.),ANOBIIDAE,Lasioderma,serricorne,Lasioderma serricorne,General synanthropic,General synanthropic,BEco09a,Bugs,,Lasioderma|serricorne|(F.)
(F.),ANOBIIDAE,Lasioderma,serricorne,Lasioderma serricorne,Stored grain pest,Stored grain pest,BEco09b,Bugs,,Lasioderma|serricorne|(F.)
(F.),ANOBIIDAE,Lasioderma,serricorne,Lasioderma serricorne,only in the specified biotope,stenotopic,HRaSt,KochGroup,Habitat range,Lasioderma|serricorne|(F.)
(F.),ANOBIIDAE,Lasioderma,serricorne,Lasioderma serricorne,,Strong Sy,HRaSs,KochGroup,,Lasioderma|serricorne|(F.)
(F.),ANTHRIBIDAE,Dissoleucas,niveirostris,Dissoleucas niveirostris,Wood and trees,Wood and trees,BEco04,Bugs,,Dissoleucas|niveirostris|(F.)
(F.),ANTHRIBIDAE,Enedreutes,sepicola,Enedreutes sepicola,Wood and trees,Wood and trees,BEco04,Bugs,,Enedreutes|sepicola|(F.)
(F.),ANTHRIBIDAE,Enedreutes,sepicola,Enedreutes sepicola,on fungi,mycetophagous,FNoMy,KochGroup,Food nourishment,Enedreutes|sepicola|(F.)
(F.),ANTHRIBIDAE,Enedreutes,sepicola,Enedreutes sepicola,in woodland,silvicolous,Ecosi,KochGroup,Ecology,Enedreutes|sepicola|(F.)
(F.),ANTHRIBIDAE,Enedreutes,sepicola,Enedreutes sepicola,only in the specified biotope,stenotopic,HRaSt,KochGroup,Habitat range,Enedreutes|sepicola|(F.)
(F.),ANTHRIBIDAE,Enedreutes,sepicola,Enedreutes sepicola,prefers warm localities,thermophilous,HTyth,KochGroup,Habitat type,Enedreutes|sepicola|(F.)
(F.),ANTHRIBIDAE,Enedreutes,sepicola,Enedreutes sepicola,in wood debris,xylodetriticolous,Ecoxy,KochGroup,Ecology,Enedreutes|sepicola|(F.)
(F.),ANTHRIBIDAE,Enedreutes,sepicola,Enedreutes sepicola,feeds on wood,xylophagous,FNoXy,KochGroup,Food nourishment,Enedreutes|sepicola|(F.)
(F.),ANTHRIBIDAE,Enedreutes,sepicola,Enedreutes sepicola,,xylophilous,HTyhl,KochGroup,,Enedreutes|sepicola|(F.)
(F.),BOSTRYCHIDAE,Rhyzopertha,dominica,Rhyzopertha dominica,General synanthropic,General synanthropic,BEco09a,Bugs,,Rhyzopertha|dominica|(F.)
(F.),BOSTRYCHIDAE,Rhyzopertha,dominica,Rhyzopertha dominica,Stored grain pest,Stored grain pest,BEco09b,Bugs,,Rhyzopertha|dominica|(F.)
(F.),BOSTRYCHIDAE,Rhyzopertha,dominica,Rhyzopertha dominica,attracted to amyls in wood,amylophilous,HTyam,KochGroup,Habitat type,Rhyzopertha|dominica|(F.)
(F.),BOSTRYCHIDAE,Rhyzopertha,dominica,Rhyzopertha dominica,only in the specified biotope,stenotopic,HRaSt,KochGroup,Habitat range,Rhyzopertha|dominica|(F.)
(F.),BOSTRYCHIDAE,Rhyzopertha,dominica,Rhyzopertha dominica,,Strong Sy,HRaSs,KochGroup,,Rhyzopertha|dominica|(F.)
(F.),BRACHYPTERIDAE,Brachypterus,urticae,Brachypterus urticae,Dung/foul decaying habitats,Dung/foul habitats,BEco07a,Bugs,,Brachypterus|urticae|(F.)
(F.),BRACHYPTERIDAE,Brachypterus,urticae,Brachypterus urticae,Pasture/Dung,Pasture/Dung,BEco02,Bugs,,Brachypterus|urticae|(F.)
(F.),BRACHYPTERIDAE,Brachypterus,urticae,Brachypterus urticae,on flowers,floricolous,Ecofl,KochGroup,Ecology,Brachypterus|urticae|(F.)
(F.),BRACHYPTERIDAE,Brachypterus,urticae,Brachypterus urticae,on herbs,herbicolous,Ecohe,KochGroup,Ecology,Brachypterus|urticae|(F.)
(F.),BRACHYPTERIDAE,Brachypterus,urticae,Brachypterus urticae,specialises on a specific plant or animal species,monophagous,FDeMo,KochGroup,Food dependency,Brachypterus|urticae|(F.)
(F.),BRACHYPTERIDAE,Brachypterus,urticae,Brachypterus urticae,feeds on pollen,pollenophagous,FNoPn,KochGroup,Food nourishment,Brachypterus|urticae|(F.)
(F.),BRACHYPTERIDAE,Brachypterus,urticae,Brachypterus urticae,occurs everywhere,ubiquitous,HRaUb,KochGroup,Habitat range,Brachypterus|urticae|(F.)
(F.),BRUCHIDAE,Bruchidius,cisti,Bruchidius cisti,Meadowland,Meadowland,BEco03,Bugs,,Bruchidius|cisti|(F.)
(F.),BRUCHIDAE,Bruchidius,cisti,Bruchidius cisti,,carpophagous,FNoCa,KochGroup,,Bruchidius|cisti|(F.)
(F.),BRUCHIDAE,Bruchidius,cisti,Bruchidius cisti,on flowers,floricolous,Ecofl,KochGroup,Ecology,Bruchidius|cisti|(F.)
(F.),BRUCHIDAE,Bruchidius,cisti,Bruchidius cisti,on herbs,herbicolous,Ecohe,KochGroup,Ecology,Bruchidius|cisti|(F.)
(F.),BRUCHIDAE,Bruchidius,cisti,Bruchidius cisti,specialises on a specific plant or animal species,monophagous,FDeMo,KochGroup,Food dependency,Bruchidius|cisti|(F.)
(F.),BRUCHIDAE,Bruchidius,cisti,Bruchidius cisti,only in the specified biotope,stenotopic,HRaSt,KochGroup,Habitat range,Bruchidius|cisti|(F.)
(F.),BRUCHIDAE,Bruchidius,cisti,Bruchidius cisti,prefers warm localities,thermophilous,HTyth,KochGroup,Habitat type,Bruchidius|cisti|(F.)
(F.),BRUCHIDAE,Bruchidius,cisti,Bruchidius cisti,prefers dry places,xerophilous,HTyxe,KochGroup,Habitat type,Bruchidius|cisti|(F.)
(F.),BRUCHIDAE,Bruchidius,villosus,Bruchidius villosus,Meadowland,Meadowland,BEco03,Bugs,,Bruchidius|villosus|(F.)
(F.),BRUCHIDAE,Bruchidius,villosus,Bruchidius villosus,Sandy/dry disturbed ground/arable,Sandy/dry disturbed/arable,BEco06b,Bugs,,Bruchidius|villosus|(F.)
(F.),BRUCHIDAE,Bruchidius,villosus,Bruchidius villosus,,carpophagous,FNoCa,KochGroup,,Bruchidius|villosus|(F.)
(F.),BRUCHIDAE,Bruchidius,villosus,Bruchidius villosus,in many varied biotope,eurytopic,HRaEu,KochGroup,Habitat range,Bruchidius|villosus|(F.)
(F.),BRUCHIDAE,Bruchidius,villosus,Bruchidius villosus,on flowers,floricolous,Ecofl,KochGroup,Ecology,Bruchidius|villosus|(F.)
(F.),BRUCHIDAE,Bruchidius,villosus,Bruchidius villosus,on herbs,herbicolous,Ecohe,KochGroup,Ecology,Bruchidius|villosus|(F.)
(F.),BRUCHIDAE,Bruchidius,villosus,Bruchidius villosus,on a wide variety of various plant or animal species,polyphagous,FDePo,KochGroup,Food dependency,Bruchidius|villosus|(F.)
(F.),BRUCHIDAE,Bruchidius,villosus,Bruchidius villosus,prefers dry places,xerophilous,HTyxe,KochGroup,Habitat type,Bruchidius|villosus|(F.)
(F.),BRUCHIDAE,Callosobruchus,analis,Callosobruchus analis,General synanthropic,General synanthropic,BEco09a,Bugs,,Callosobruchus|analis|(F.)
(F.),BRUCHIDAE,Callosobruchus,analis,Callosobruchus analis,Stored grain pest,Stored grain pest,BEco09b,Bugs,,Callosobruchus|analis|(F.)
(F.),BRUCHIDAE,Callosobruchus,maculatus,Callosobruchus maculatus,General synanthropic,General synanthropic,BEco09a,Bugs,,Callosobruchus|maculatus|(F.)
(F.),BRUCHIDAE,Callosobruchus,maculatus,Callosobruchus maculatus,Stored grain pest,Stored grain pest,BEco09b,Bugs,,Callosobruchus|maculatus|(F.)
(F.),BUPRESTIDAE,Agrilus,biguttatus,Agrilus biguttatus,Deciduous Wood and tree indicators,Indicators: Deciduous,BEco04a,Bugs,,Agrilus|biguttatus|(F.)
(F.),BUPRESTIDAE,Agrilus,biguttatus,Agrilus biguttatus,Wood and trees,Wood and trees,BEco04,Bugs,,Agrilus|biguttatus|(F.)
(F.),BUPRESTIDAE,Agrilus,biguttatus,Agrilus biguttatus,on trees,arboricolous,Ecoab,KochGroup,Ecology,Agrilus|biguttatus|(F.)
(F.),BUPRESTIDAE,Agrilus,biguttatus,Agrilus biguttatus,in many varied biotope,eurytopic,HRaEu,KochGroup,Habitat range,Agrilus|biguttatus|(F.)
(F.),BUPRESTIDAE,Agrilus,biguttatus,Agrilus biguttatus,in wood,lignicolous,Ecoli,KochGroup,Ecology,Agrilus|biguttatus|(F.)
(F.),BUPRESTIDAE,Agrilus,biguttatus,Agrilus biguttatus,in woodland,silvicolous,Ecosi,KochGroup,Ecology,Agrilus|biguttatus|(F.)
(F.),BUPRESTIDAE,Anthaxia,salicis,Anthaxia salicis,Wood and trees,Wood and trees,BEco04,Bugs,,Anthaxia|salicis|(F.)
(F.),BUPRESTIDAE,Anthaxia,salicis,Anthaxia salicis,on trees,arboricolous,Ecoab,KochGroup,Ecology,Anthaxia|salicis|(F.)
(F.),BUPRESTIDAE,Anthaxia,salicis,Anthaxia salicis,in many varied biotope,eurytopic,HRaEu,KochGroup,Habitat range,Anthaxia|salicis|(F.)
(F.),BUPRESTIDAE,Anthaxia,salicis,Anthaxia salicis,on flowers,floricolous,Ecofl,KochGroup,Ecology,Anthaxia|salicis|(F.)
(F.),BUPRESTIDAE,Anthaxia,salicis,Anthaxia salicis,on herbs,herbicolous,Ecohe,KochGroup,Ecology,Anthaxia|salicis|(F.)
(F.),BUPRESTIDAE,Anthaxia,salicis,Anthaxia salicis,prefers warm localities,thermophilous,HTyth,KochGroup,Habitat type,Anthaxia|salicis|(F.)
(F.),BUPRESTIDAE,Dicerca,moesta,Dicerca moesta,Coniferous Wood and tree indicators,Indicators: Coniferous,BEco04b,Bugs,,Dicerca|moesta|(F.)
(F.),BUPRESTIDAE,Dicerca,moesta,Dicerca moesta,Wetlands/marshes,Wetlands/marshes,BEco05a,Bugs,,Dicerca|moesta|(F.)
(F.),BUPRESTIDAE,Dicerca,moesta,Dicerca moesta,Wood and trees,Wood and trees,BEco04,Bugs,,Dicerca|moesta|(F.)
(F.),BYRRHIDAE,Morychus,aeneus,Morychus aeneus,Dung/foul decaying habitats,Dung/foul habitats,BEco07a,Bugs,,Morychus|aeneus|(F.)
(F.),BYRRHIDAE,Morychus,aeneus,Morychus aeneus,"Open wet habitats, shingle, etc",Open wet habitats,BEco05b,Bugs,,Morychus|aeneus|(F.)
(F.),BYRRHIDAE,Morychus,aeneus,Morychus aeneus,,muscophagous,FNoMs,KochGroup,,Morychus|aeneus|(F.)
(F.),BYRRHIDAE,Morychus,aeneus,Morychus aeneus,in sand,psammophilous,HTyps,KochGroup,Habitat type,Morychus|aeneus|(F.)
(F.),BYRRHIDAE,Morychus,aeneus,Morychus aeneus,only in the specified biotope,stenotopic,HRaSt,KochGroup,Habitat range,Morychus|aeneus|(F.)
(F.),BYRRHIDAE,Porcinolus,murinus,Porcinolus murinus,Heathland and moorland,Heathland & moorland,BEco12,Bugs,,Porcinolus|murinus|(F.)
(F.),BYRRHIDAE,Porcinolus,murinus,Porcinolus murinus,Sandy/dry disturbed ground/arable,Sandy/dry disturbed/arable,BEco06b,Bugs,,Porcinolus|murinus|(F.)
(F.),BYRRHIDAE,Porcinolus,murinus,Porcinolus murinus,,muscophagous,FNoMs,KochGroup,,Porcinolus|murinus|(F.)
(F.),BYRRHIDAE,Porcinolus,murinus,Porcinolus murinus,in sand,psammophilous,HTyps,KochGroup,Habitat type,Porcinolus|murinus|(F.)
(F.),BYRRHIDAE,Porcinolus,murinus,Porcinolus murinus,only in the specified biotope,stenotopic,HRaSt,KochGroup,Habitat range,Porcinolus|murinus|(F.)
(F.),BYRRHIDAE,Simplocaria,semistriata,Simplocaria semistriata,Meadowland,Meadowland,BEco03,Bugs,,Simplocaria|semistriata|(F.)
(F.),BYRRHIDAE,Simplocaria,semistriata,Simplocaria semistriata,Wood and trees,Wood and trees,BEco04,Bugs,,Simplocaria|semistriata|(F.)
(F.),BYRRHIDAE,Simplocaria,semistriata,Simplocaria semistriata,in many varied biotope,eurytopic,HRaEu,KochGroup,Habitat range,Simplocaria|semistriata|(F.)
(F.),BYRRHIDAE,Simplocaria,semistriata,Simplocaria semistriata,,muscophagous,FNoMs,KochGroup,,Simplocaria|semistriata|(F.)
(F.),BYRRHIDAE,Simplocaria,semistriata,Simplocaria semistriata,in plant debris (litter),phytodetriticolous,Ecopt,KochGroup,Ecology,Simplocaria|semistriata|(F.)
(F.),CANTHARIDAE,Silis,ruficollis,Silis ruficollis,Wetlands/marshes,Wetlands/marshes,BEco05a,Bugs,,Silis|ruficollis|(F.)
(F.),CANTHARIDAE,Silis,ruficollis,Silis ruficollis,on trees,arboricolous,Ecoab,KochGroup,Ecology,Silis|ruficollis|(F.)
(F.),CANTHARIDAE,Silis,ruficollis,Silis ruficollis,on herbs,herbicolous,Ecohe,KochGroup,Ecology,Silis|ruficollis|(F.)
(F.),CANTHARIDAE,Silis,ruficollis,Silis ruficollis,prefers moisture,hygrophilous,HTyhy,KochGroup,Habitat type,Silis|ruficollis|(F.)
(F.),CANTHARIDAE,Silis,ruficollis,Silis ruficollis,in swamps,paludicolous,Ecopa,KochGroup,Ecology,Silis|ruficollis|(F.)
(F.),CANTHARIDAE,Silis,ruficollis,Silis ruficollis,only in the specified biotope,stenotopic,HRaSt,KochGroup,Habitat range,Silis|ruficollis|(F.)
(F.),CARABIDAE,Amara,ovata,Amara ovata,Sandy/dry disturbed ground/arable,Sandy/dry disturbed/arable,BEco06b,Bugs,,Amara|ovata|(F.)
(F.),CARABIDAE,Amara,ovata,Amara ovata,in many varied biotope,eurytopic,HRaEu,KochGroup,Habitat range,Amara|ovata|(F.)
(F.),CARABIDAE,Amara,ovata,Amara ovata,plant materials,phytophagous,FNoPh,KochGroup,Food nourishment,Amara|ovata|(F.)
(F.),CARABIDAE,Amara,ovata,Amara ovata,on a wide variety of various plant or animal species,polyphagous,FDePo,KochGroup,Food dependency,Amara|ovata|(F.)
(F.),CARABIDAE,Amara,ovata,Amara ovata,prefers dry places,xerophilous,HTyxe,KochGroup,Habitat type,Amara|ovata|(F.)
(F.),CARABIDAE,Anisodactylus,binotatus,Anisodactylus binotatus,Sandy/dry disturbed ground/arable,Sandy/dry disturbed/arable,BEco06b,Bugs,,Anisodactylus|binotatus|(F.)
(F.),CARABIDAE,Anisodactylus,binotatus,Anisodactylus binotatus,Wetlands/marshes,Wetlands/marshes,BEco05a,Bugs,,Anisodactylus|binotatus|(F.)
(F.),CARABIDAE,Anisodactylus,binotatus,Anisodactylus binotatus,in many varied biotope,eurytopic,HRaEu,KochGroup,Habitat range,Anisodactylus|binotatus|(F.)
(F.),CARABIDAE,Anisodactylus,binotatus,Anisodactylus binotatus,prefers moisture,hygrophilous,HTyhy,KochGroup,Habitat type,Anisodactylus|binotatus|(F.)
(F.),CARABIDAE,Anisodactylus,binotatus,Anisodactylus binotatus,in plant debris (litter),phytodetriticolous,Ecopt,KochGroup,Ecology,Anisodactylus|binotatus|(F.)
(F.),CARABIDAE,Bembidion,biguttatum,Bembidion biguttatum,Meadowland,Meadowland,BEco03,Bugs,,Bembidion|biguttatum|(F.)
(F.),CARABIDAE,Bembidion,biguttatum,Bembidion biguttatum,Wetlands/marshes,Wetlands/marshes,BEco05a,Bugs,,Bembidion|biguttatum|(F.)
(F.),CARABIDAE,Bembidion,biguttatum,Bembidion biguttatum,in many varied biotope,eurytopic,HRaEu,KochGroup,Habitat range,Bembidion|biguttatum|(F.)
(F.),CARABIDAE,Bembidion,biguttatum,Bembidion biguttatum,prefers moisture,hygrophilous,HTyhy,KochGroup,Habitat type,Bembidion|biguttatum|(F.)
(F.),CARABIDAE,Bembidion,biguttatum,Bembidion biguttatum,in swamps,paludicolous,Ecopa,KochGroup,Ecology,Bembidion|biguttatum|(F.)
(F.),CARABIDAE,Bembidion,biguttatum,Bembidion biguttatum,in plant debris (litter),phytodetriticolous,Ecopt,KochGroup,Ecology,Bembidion|biguttatum|(F.)
(F.),CARABIDAE,Bembidion,guttula,Bembidion guttula,Wetlands/marshes,Wetlands/marshes,BEco05a,Bugs,,Bembidion|guttula|(F.)
(F.),CARABIDAE,Bembidion,guttula,Bembidion guttula,in many varied biotope,eurytopic,HRaEu,KochGroup,Habitat range,Bembidion|guttula|(F.)
(F.),CARABIDAE,Bembidion,guttula,Bembidion guttula,prefers moisture,hygrophilous,HTyhy,KochGroup,Habitat type,Bembidion|guttula|(F.)
(F.),CARABIDAE,Bembidion,minimum,Bembidion minimum,Halotolerant (all salts),Halotolerant,BEco13,Bugs,Habitat type,Bembidion|minimum|(F.)
(F.),CARABIDAE,Bembidion,minimum,Bembidion minimum,in many varied biotope,eurytopic,HRaEu,KochGroup,Habitat range,Bembidion|minimum|(F.)
(F.),CARABIDAE,Bembidion,minimum,Bembidion minimum,in salty environments,halophilous,HTyha,KochGroup,Habitat type,Bembidion|minimum|(F.)
(F.),CARABIDAE,Bembidion,minimum,Bembidion minimum,on river banks,ripicolous,Ecori,KochGroup,Ecology,Bembidion|minimum|(F.)
(F.),CARABIDAE,Brachinus,sclopeta,Brachinus sclopeta,Meadowland,Meadowland,BEco03,Bugs,,Brachinus|sclopeta|(F.)
(F.),CARABIDAE,Brachinus,sclopeta,Brachinus sclopeta,only in the specified biotope,stenotopic,HRaSt,KochGroup,Habitat range,Brachinus|sclopeta|(F.)
(F.),CARABIDAE,Callistus,lunatus,Callistus lunatus,Meadowland,Meadowland,BEco03,Bugs,,Callistus|lunatus|(F.)
(F.),CARABIDAE,Callistus,lunatus,Callistus lunatus,in many varied biotope,eurytopic,HRaEu,KochGroup,Habitat range,Callistus|lunatus|(F.)
(F.),CARABIDAE,Callistus,lunatus,Callistus lunatus,prefers warm localities,thermophilous,HTyth,KochGroup,Habitat type,Callistus|lunatus|(F.)
(F.),CARABIDAE,Calosoma,reticulatum,Calosoma reticulatum,Heathland and moorland,Heathland & moorland,BEco12,Bugs,,Calosoma|reticulatum|(F.)
(F.),CARABIDAE,Calosoma,reticulatum,Calosoma reticulatum,Sandy/dry disturbed ground/arable,Sandy/dry disturbed/arable,BEco06b,Bugs,,Calosoma|reticulatum|(F.)
(F.),CARABIDAE,Calosoma,reticulatum,Calosoma reticulatum,eats insects,entomophagous,FNoEn,KochGroup,Food nourishment,Calosoma|reticulatum|(F.)
(F.),CARABIDAE,Calosoma,reticulatum,Calosoma reticulatum,in many varied biotope,eurytopic,HRaEu,KochGroup,Habitat range,Calosoma|reticulatum|(F.)
(F.),CARABIDAE,Calosoma,reticulatum,Calosoma reticulatum,on a narrow range of often closely related plant or animal species,oligophagous,FDeOl,KochGroup,Food dependency,Calosoma|reticulatum|(F.)
(F.),CARABIDAE,Calosoma,reticulatum,Calosoma reticulatum,prefers dry places,xerophilous,HTyxe,KochGroup,Habitat type,Calosoma|reticulatum|(F.)
(F.),CARABIDAE,Chlaenius,nigricornis,Chlaenius nigricornis,Wetlands/marshes,Wetlands/marshes,BEco05a,Bugs,,Chlaenius|nigricornis|(F.)
(F.),CARABIDAE,Chlaenius,nigricornis,Chlaenius nigricornis,in many varied biotope,eurytopic,HRaEu,KochGroup,Habitat range,Chlaenius|nigricornis|(F.)
